"Freq [GHz]","mag(AxialRatioValue) [] - Phi='0deg' Theta='0deg'"
3.33,2.05433842137516
3.34,2.03911585323813
3.35,2.02437869148927
3.36,2.01013679724159
3.37,1.99639779172142
3.38,1.98316740691137
3.39,1.970450121343
3.4,1.95824950353627
3.41,1.94656839108774
3.42,1.9354092764116
3.43,1.92477453263509
3.44,1.91466648390028
3.45,1.9050876276976
3.46,1.89604080548545
3.47,1.88752908642125
3.48,1.87955611284164
3.49,1.87212591333179
3.5,1.86524309595966
3.51,1.85891286263725
3.52,1.85314091172879
3.53,1.84793375664434
3.54,1.84329845262092
3.55,1.839242722655
3.56,1.83577516246444
3.57,1.83290496484941
3.58,1.83064235517803
3.59,1.82899833010653
3.6,1.82798485755466
3.61,1.82761504480151
3.62,1.82790312709464
3.63,1.82886474923761
3.64,1.83051690685869
3.65,1.83287837060551
3.66,1.83596976260447
3.67,1.83981374529825
3.68,1.84443556485796
3.69,1.84986299607154
3.7,1.85612717068096
3.71,1.8632625258356
3.72,1.87130768383542
3.73,1.88030582058724
3.74,1.89030538755474
3.75,1.90136075030106
3.76,1.9135331666036
3.77,1.92689165916081
3.78,1.94151417239526
3.79,1.95748882328233
3.8,1.97491543527248
3.81,1.99390718501134
3.82,2.01459257219722
3.83,2.03711764888754
3.84,2.0616487682401
3.85,2.0883753653462
3.86,2.11751366412495
3.87,2.14931027515647
3.88,2.18404721108995
3.89,2.22204653357305
3.9,2.26367637626189
3.91,2.30935731806423
3.92,2.35956894628098
3.93,2.41485723371899
3.94,2.4758412664839
3.95,2.54321906308654
3.96,2.61777113248206
3.97,2.70035927954203
3.98,2.79191710940523
3.99,2.89342736790294
4,3.00587736264813
4.01,3.13018127145635
4.02,3.26705401647544
4.03,3.41681786720322
4.04,3.57912039330385
4.05,3.75255213667623
4.06,3.93417213401259
4.07,4.11899902029337
4.08,4.2996036243651
4.09,4.46603643328933
4.1,4.60638564915333
4.11,4.70818722534768
4.12,4.76061705813465
4.13,4.75692939471977
